"UniqueID","Probability1"
11862,0.352214314719685
11865,0.579227996669429
11869,0.326935296999108
11871,0.69050145765289
11874,0.339386208695407
11875,0.434354712768057
11877,0.404848792897793
11878,0.325689645421735
11879,0.273860818314092
11880,0.457263696760756
11881,0.392159966279306
11883,0.107864334532533
11884,0.309126773567439
11885,0.37481082039157
11886,0.162427600386115
11888,0.111586219103288
11889,0.243349622165155
11891,0.810861648323708
11892,0.466069309199572
11893,0.344132095739803
11895,0.213313443819162
11897,0.365235802049613
11898,0.400586344791196
11900,0.210561118825761
11902,0.475684473244306
11903,0.249438773644656
11904,0.358860866603466
11906,0.653765159854827
11907,0.264269459396812
11909,0.242562919535933
11911,0.202547689728572
11912,0.16021546110752
11913,0.648652773193769
11914,0.369973881971013
11916,0.135697551747148
11917,0.400536318636319
11918,0.517237562920172
11920,0.351017111830486
11922,0.674414924114743
11923,0.84326313333756
11924,0.275689943857766
11925,0.825274299516908
11927,0.694240448238668
11928,0.230771134910094
11929,0.241985377787479
11930,0.828640966183575
11931,0.443139708129127
11932,0.117905130437795
11933,0.456052292444398
11935,0.34831285491373
11936,0.229285336450869
11937,0.691869898362507
11939,0.394553086456028
11940,0.282761583265679
11941,0.279669963081023
11942,0.531011010688658
11945,0.835574299516908
11946,0.571161330002762
11947,0.781668468793686
11948,0.367563865219748
11949,0.70604694827338
11950,0.599454124935795
11952,0.253630669200716
11953,0.830435860610287
11954,0.243569434030022
11955,0.675837568764001
11956,0.828640966183575
11957,0.387267209662587
11958,0.238559611573422
11961,0.653143149294582
11963,0.249087116632142
11964,0.495983307771717
11967,0.68947582737566
11968,0.428262016885704
11969,0.534165339303091
11971,0.448584528646448
11972,0.624002926157063
11973,0.831226680469289
11974,0.825665225689652
11976,0.447970496020254
11978,0.349571943011905
11979,0.773921772059827
11980,0.532392792501616
11981,0.673161414014235
11983,0.844121918564527
11984,0.458276147064648
11985,0.828640966183575
11987,0.68947582737566
11988,0.19879462217735
11989,0.772921772059827
11990,0.624040862902299
11991,0.642699910587965
11992,0.48169959986089
11993,0.745216057758666
11994,0.247286889123391
11995,0.312100580094819
11997,0.278154245857114
11998,0.168318053987262
11999,0.368549726954471
12000,0.68947582737566
12001,0.641191594714347
12002,0.815493347135956
12004,0.643059725202334
12005,0.648652773193769
12006,0.465548061663112
12007,0.689701976565414
12008,0.279048747216824
12009,0.342083966284612
12010,0.720669354461963
12011,0.801355226296222
12012,0.455511363732053
12013,0.453807585582847
12015,0.641191594714347
12016,0.622445420525428
12017,0.773921772059827
12018,0.842788585231194
12019,0.634181005882438
12020,0.698213614940047
